OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289259562,334,10th & G St NW,31274,38.898243,-77.026235,YES,NO,,,NO,14,9,397724.2187,136710.5874,,DC
289259563,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,8,6,392986.4379,136643.3202,,
289259564,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,16,2,395568.8857,137101.3604,,DC
289259565,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,8,7,394010.5462,125930.1835,,
289259566,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,11,0,395875.6679,128220.0553,,
289259567,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,10,9,394478.8647,126103.6794,,
289259568,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,0,11,394996.3049,128033.4045,,
289259569,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,5,10,394916.6564,128686.84,,
289259570,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,9,6,395389.143,128129.5199,,
289259571,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,14,1,394806.0275,129478.0567,,
289259572,344,Court House Metro / 15th St & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,12,8,392643.0665,135866.5762,,
289259573,345,WAU / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,14,1,399996.9677,146534.5483,,
289259574,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,,,NO,6,11,368821.7005,143298.3275,,
289259575,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,,,NO,6,12,399482.4634,135230.8757,,DC
289259576,440,Wiehle Ave & Reston Station Blvd,32215,38.9492,-77.3368,YES,NO,,,NO,3,16,370804.8827,142420.7769,,
289259577,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,,,NO,7,12,368907.5133,143586.172,,
289259578,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,YES,NO,,,NO,4,11,369003.5843,143109.2288,,
289259579,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,,,NO,2,21,395753.6983,136067.3308,,DC
289259580,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,,,NO,9,10,407498.7397,135999.1416,,DC
289259581,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,,,NO,4,11,369369.4019,143634.4359,,
289259582,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,,,NO,10,4,368067.0397,143110.0668,,
289259583,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,YES,NO,,,NO,5,6,370495.7444,142670.9186,,
289259584,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,YES,NO,,,NO,11,4,393852.6278,136226.0986,,
289259585,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,YES,NO,,,NO,5,10,397575.5502,144399.3161,,DC
289259586,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,,,NO,6,3,380279.3743,139492.2688,,
